replicate,token_markov_bits_per_event,matched_trigram_bits_per_event,delta_token_minus_trigram_bits_per_event
84,2.4155024619340204,2.291758071402483,0.12374439053153719
85,2.4798277458460762,2.349101689748707,0.1307260560973691
86,2.4663704051142363,2.3394026319394876,0.12696777317474872
87,2.456778153927891,2.323005327704663,0.13377282622322761
88,2.461706608045185,2.3348273380587385,0.12687926998644627
89,2.452095922596518,2.3311457933190223,0.12095012927749593
90,2.528150045149591,2.381886277871708,0.14626376727788282
91,2.374677285663955,2.2564735538459746,0.11820373181798027
92,2.4220177892953774,2.3055209642396877,0.1164968250556897
93,2.495101872631944,2.3579310623271574,0.13717081030478662
94,2.558561570698577,2.405832848764079,0.1527287219344977
95,2.5672386864669234,2.428530041204835,0.13870864526208848
96,2.5529658020413244,2.411973302969008,0.1409924990723166
97,2.4033706144663043,2.284550417858444,0.11882019660786014
98,2.4705717654187103,2.3339206039829903,0.13665116143571998
99,2.4694701911347794,2.3430581955852814,0.126411995549498
100,2.6215626401087,2.4686617266866637,0.1529009134220365
101,2.3320014627685515,2.221704609411535,0.11029685335701656
102,2.2929540657242504,2.183237553510199,0.10971651221405132
103,2.4140051436490695,2.293488134833188,0.12051700881588134
104,2.599019209549089,2.4671898759506097,0.13182933359847926
105,2.4928585449071234,2.3636135164666237,0.1292450284404998
106,2.5653150620912895,2.4201228885333896,0.14519217355789982
107,2.3854190639883304,2.267180461436579,0.11823860255175145
108,2.3877652494103896,2.2796235505279268,0.10814169888246283
109,2.563643208370957,2.423709529542404,0.139933678828553
110,2.4707934003993244,2.3390629137578225,0.1317304866415019
111,2.415609287598528,2.2970559398123567,0.11855334778617133
112,2.3889796446861937,2.263102941692403,0.1258767029937906
113,2.5958508731236227,2.455913109667464,0.13993776345615894
114,2.406003114531638,2.2851253052375573,0.12087780929408076
115,2.474911662308962,2.3544234211315653,0.12048824117739665
116,2.4930020740462924,2.366449466283409,0.12655260776288335
117,2.5383181998871387,2.3946674576549234,0.1436507422322153
118,2.4726372545278443,2.3447165081656816,0.12792074636216277
119,2.5976457393913055,2.458146048162513,0.1394996912287927
120,2.3844738384057558,2.266584823749133,0.11788901465662294
121,2.5254912775680256,2.3866411128240683,0.13885016474395728
122,2.4091812603707763,2.2923871868767898,0.11679407349398652
123,2.460153427153024,2.3264785306726266,0.13367489648039754
124,2.460984846859231,2.329114063813269,0.131870783045962
125,2.39686636584203,2.283459219619798,0.11340714622223214
126,2.4768430451741588,2.348342041175066,0.1285010039990926
127,2.3741908680319215,2.252627649187755,0.12156321884416643
128,2.3421112261025727,2.2307889525728792,0.11132227352969348
129,2.4156535123292384,2.2933130074261743,0.12234050490306414
130,2.4497774556493415,2.3262704476294727,0.1235070080198688
131,2.3940262190250543,2.2812862738552115,0.11273994516984276
132,2.566329471721869,2.42287256771328,0.14345690400858935
133,2.537574590470153,2.3959217552621164,0.14165283520803662
134,2.565937206281912,2.433244757024626,0.13269244925728607
135,2.5618888092715557,2.4199389587462403,0.1419498505253154
136,2.50583620306385,2.3643056145629804,0.14153058850086975
137,2.4351919684723384,2.310845723946065,0.12434624452627352
138,2.520566902455637,2.3787703847772392,0.14179651767839774
139,2.5686105009606126,2.432277162233751,0.1363333387268617
140,2.6381440828128304,2.4786560869065055,0.1594879959063249
141,2.4701532773965553,2.353040856245799,0.11711242115075615
142,2.3708889558991815,2.257721608712621,0.11316734718656063
143,2.461258644572982,2.3427786966366924,0.11847994793628969
144,2.4097080072944634,2.2916993322599475,0.11800867503451595
145,2.559405227078949,2.4127818791868414,0.14662334789210751
146,2.389497903807003,2.2812427173635967,0.10825518644340626
147,2.5576993805271075,2.4151903271400585,0.142509053387049
148,2.518248780492422,2.389534807542623,0.12871397294979925
149,2.3421707521513007,2.238867007755256,0.10330374439604473
150,2.49318413847424,2.36164382263635,0.13154031583788983
151,2.4842870951965113,2.3531538836171975,0.1311332115793138
152,2.524717767227118,2.39135314270495,0.13336462452216802
153,2.5225598581790996,2.3901618603848096,0.13239799779428996
154,2.448453397029427,2.3249343233467585,0.12351907368266835
