replicate,copy_edit_bits_per_event,matched_trigram_bits_per_event,delta_copy_minus_trigram_bits_per_event
277,3.4045483020959066,2.2723562706434257,1.132192031452481
278,3.5099379722948645,2.3913693955289563,1.1185685767659082
279,3.5364021654862423,2.4447797398067217,1.0916224256795206
280,3.5113818671066452,2.383564387024478,1.1278174800821672
281,3.4884512476758855,2.3805629289178087,1.1078883187580768
282,3.498225620575395,2.375985552408695,1.1222400681667004
283,3.383169295345771,2.210050913996706,1.1731183813490649
284,3.4663170780944976,2.330818859472889,1.1354982186216085
285,3.428815280694743,2.304889606927028,1.1239256737677152
286,3.511525581881166,2.421929490620605,1.0895960912605611
287,3.44430331233767,2.3038506139475103,1.1404526983901597
288,3.439611475638452,2.3064364444118524,1.1331750312265996
289,3.5178547691994346,2.4199406942113173,1.0979140749881173
290,3.5140338584005906,2.3743150864814275,1.139718771919163
291,3.510836463418393,2.44962055732929,1.0612159060891027
292,3.4701568056018353,2.356083537825413,1.1140732677764222
293,3.49580215555982,2.3682402727700276,1.1275618827897924
294,3.4856224371758673,2.3324924487060197,1.1531299884698476
295,3.5084575438197434,2.439975281241362,1.0684822625783812
296,3.4553858025423656,2.331920948947432,1.1234648535949336
297,3.4843958110235627,2.3498153469421403,1.1345804640814223
298,3.51305857665491,2.3824950505314964,1.1305635261234137
299,3.457657843110477,2.294355712933709,1.1633021301767683
300,3.4752147994542426,2.3732229881340743,1.1019918113201683
301,3.512846591854987,2.343913126788309,1.168933465066678
302,3.4675775174632038,2.41636131350678,1.051216203956424
303,3.4687687056579444,2.387708641853431,1.0810600638045136
304,3.4005034227072852,2.271986224296559,1.128517198410726
305,3.4125915250188883,2.2242434822300745,1.1883480427888138
306,3.4960066217357078,2.3637300313288665,1.1322765904068413
307,3.514602357834629,2.3670836881695583,1.1475186696650708
308,3.453274164422317,2.3504648933204266,1.1028092711018904
309,3.4468733016776296,2.2531358518344433,1.1937374498431863
310,3.4396407554039876,2.2922943860070912,1.1473463693968964
311,3.5102884223589523,2.405425083123904,1.1048633392350484
312,3.456172199907186,2.366925276237467,1.089246923669719
313,3.422662526713973,2.2406572703407797,1.1820052563731935
314,3.4598192744644565,2.3327600482394235,1.127059226225033
315,3.4447936195952202,2.3550113968444224,1.0897822227507978
316,3.4728573274402086,2.3409580756648816,1.131899251775327
317,3.5154694016711345,2.3987140918806347,1.1167553097904999
318,3.4056957380792614,2.2060597691486845,1.199635968930577
319,3.427194916430751,2.2762658109836003,1.1509291054471507
320,3.4116071806152135,2.3051708680615888,1.1064363125536247
321,3.5206838663257725,2.4471796452730357,1.0735042210527368
322,3.4679279071009583,2.3583600631253487,1.1095678439756096
323,3.488507839234665,2.4003654244211177,1.0881424148135475
324,3.4156524341104566,2.248313703231915,1.1673387308785417
325,3.514550915581179,2.39278362713472,1.1217672884464593
326,3.502335019425522,2.395073010366809,1.1072620090587129
327,3.4573984665341144,2.3213603282229913,1.136038138311123
328,3.5160208607036036,2.347465472726926,1.1685553879766775
329,3.4693307136898692,2.3418850900118837,1.1274456236779855
330,3.4667318248163195,2.352767673047443,1.1139641517688763
331,3.511930172896819,2.361494792813751,1.150435380083068
332,3.4917733710283247,2.3537713207726583,1.1380020502556665
333,3.417305148909794,2.3000875624538546,1.1172175864559395
334,3.452486844087065,2.3397097928017776,1.1127770512852875
335,3.4528637343153643,2.3314620749543793,1.121401659360985
336,3.429313494167197,2.2598990641736116,1.1694144299935854
337,3.470808584650483,2.3381818000481096,1.1326267846023734
338,3.4913796068828806,2.4290344019828005,1.06234520490008
339,3.5206092593953167,2.398121399673369,1.1224878597219479
340,3.5031357179431413,2.3551794648978315,1.1479562530453098
341,3.4508146019757495,2.357330745631144,1.0934838563446054
342,3.4305615101787863,2.2928602964769524,1.1377012137018339
343,3.4513593542269883,2.3580139468076426,1.0933454074193456
344,3.537920464857846,2.461426956299918,1.0764935085579284
345,3.5320951537369605,2.4014778172505733,1.1306173364863872
346,3.445142171041399,2.2506025219789936,1.1945396490624054
347,3.516340021161882,2.398968942661518,1.1173710785003639
348,3.529284460766984,2.4250081511476616,1.1042763096193227
349,3.5013444355851444,2.4663844212895385,1.034960014295606
350,3.418021508945064,2.318775127052428,1.0992463818926357
351,3.4663672464494804,2.323544696734556,1.1428225497149245
352,3.5217604871228545,2.4368120184897815,1.084948468633073
353,3.435720113734196,2.2550199731201204,1.1807001406140758
354,3.4674017651582476,2.284316565984482,1.1830851991737656
355,3.456637478288847,2.371553511124505,1.085083967164342
356,3.482544331677319,2.3617766657686268,1.120767665908692
357,3.44193749428049,2.3181020966912924,1.1238353975891977
358,3.494652199287787,2.3437985333820652,1.1508536659057218
359,3.4946238494158806,2.392468437731442,1.1021554116844388
360,3.5057888413616736,2.3497807428082025,1.156008098553471
361,3.5111393823858528,2.379891486819597,1.131247895566256
362,3.4970022707280917,2.364013587445302,1.1329886832827896
363,3.46579327121105,2.3233982758092417,1.1423949954018084
364,3.459238974278926,2.2622767493287395,1.1969622249501866
365,3.380089595932976,2.2186279686641464,1.1614616272688298
366,3.4739296100119623,2.3664463310931425,1.1074832789188198
367,3.4655448664885573,2.318681429313724,1.1468634371748334
368,3.5010882036281137,2.4020037585378455,1.0990844450902681
369,3.4315188050280208,2.2303894974871277,1.201129307540893
370,3.511833662275798,2.439357645570569,1.0724760167052287
371,3.3553305400840476,2.1901286533725823,1.1652018867114653
372,3.469979932524284,2.3231989288672272,1.1467810036570567
373,3.5310922927953485,2.449431815186976,1.0816604776083727
